item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,FDK34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,13.35,238.7564,4
Low Fat,DRL37,Soft Drinks,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,15.50,41.3770,2
Low Fat,FDS03,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.13941942,12.82,66.0826,4
Regular,FDD38,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00000000,12.31,100.3674,4
Regular,FDZ50,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.00000000,13.43,184.2608,4
Regular,FDI09,Seafood,2015,OUT045,Tier 2,Large,Supermarket Type1,0.00000000,20.75,239.9880,4
Low Fat,FDK46,Snack Foods,2011,OUT010,Tier 3,Large,Grocery Store,0.08614587,9.60,258.3620,4
Regular,FDM50,Canned,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03006413,13.00,58.0220,4
Low Fat,FDQ39,Meat,2011,OUT010,Tier 3,Large,Grocery Store,0.13564792,14.80,190.8846,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.00000000,6.61,186.4898,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.01114887,10.30,84.8540,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.01100413,10.50,167.1842,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11369496,17.25,253.4724,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06740003,19.10,41.9796,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02688250,9.80,126.3020,5
Low Fat,NCN18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,8.90,111.9544,4
Low Fat,FDT45,Snack Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,15.85,55.1956,4
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01002789,7.91,249.6408,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.12552873,13.50,262.1910,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.10096684,9.40,86.8856,5
Regular,FDV01,Canned,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,19.20,153.3314,4
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.14140639,9.80,50.0008,5
Low Fat,NCA06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,20.50,37.1190,4
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.03810220,17.75,154.0656,5
Low Fat,FDA15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01604730,9.30,249.8092,4
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.11802509,20.20,195.8110,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,Large,Supermarket Type1,0.16913771,7.16,35.2874,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,Large,Supermarket Type1,0.15436321,7.84,50.8350,5
Regular,FDE23,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,17.60,46.0060,4
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.04738714,9.20,50.8666,5
Low Fat,FDW35,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01111171,10.60,43.8454,4
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.14749252,10.20,141.5838,5
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,16.10,35.1558,5
Low Fat,DRF15,Dairy,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,18.35,151.9340,4
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.16009590,17.25,61.5194,5
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03395183,12.35,197.2426,5
Regular,FDU15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00000000,13.65,36.6532,5
Regular,FDU27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.17244682,18.60,47.1376,5
Regular,FDN39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06589100,19.35,167.0816,5
Regular,FDV10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06708337,7.65,44.0112,5
Regular,FDO45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03816745,13.15,89.4856,5
Low Fat,DRG01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04487828,14.80,75.4670,1
Regular,FDB23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.00562021,19.20,226.6062,5
Low Fat,NCY41,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07616401,16.75,34.0532,5
Regular,FDW31,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04340222,11.35,197.0742,5
Regular,FDA47,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00000000,10.50,162.4210,4
Regular,FDR55,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.13283066,12.15,190.6872,5
Regular,FDX10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.12441028,6.39,34.3874,5
Low Fat,NCW54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,7.50,59.2588,4
Low Fat,DRF49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07106450,7.27,114.4518,5
Low Fat,FDA23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04717812,9.80,99.4016,5
Regular,FDH31,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02044289,12.00,98.0042,4
Low Fat,FDR60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.13039046,14.30,77.2328,5
Low Fat,FDN60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09514009,15.10,159.9604,5
Low Fat,FDU48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05534799,18.85,131.5284,5
Low Fat,FDG60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06068825,20.35,234.2616,5
Low Fat,FDU11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09257614,4.79,121.0098,5
Low Fat,FDS37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03193883,7.66,114.1492,5
Low Fat,FDZ44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03872173,8.19,115.8808,5
Low Fat,NCH30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,17.10,114.6860,4
Low Fat,FDO44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08743667,12.60,109.9228,5
Low Fat,DRL11,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04800908,10.50,157.0946,5
Low Fat,NCU17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09286575,5.32,100.6674,5
Low Fat,NCL41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04172974,12.35,36.3216,5
Low Fat,NCS53,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08976121,14.50,159.4604,5
Low Fat,NCV17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01610450,18.85,130.2626,5
Low Fat,NCO14,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02963827,9.60,42.6086,5
Low Fat,NCU18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05582950,15.10,140.2496,5
Low Fat,NCI54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03359269,15.20,108.1912,5
Low Fat,NCC18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.17723650,19.10,172.3422,5
Low Fat,NCQ38,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01336390,16.35,106.1280,5
Low Fat,FDL10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03948474,8.40,97.9042,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02443277,9.80,116.4492,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04195075,10.80,190.0214,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05885536,11.80,79.1618,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02493779,5.88,148.4392,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.10545931,6.78,84.6250,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07071203,8.42,216.4192,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02146879,10.00,251.6750,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.17762953,19.10,173.9422,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,104.2332,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,172.4422,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04102894,16.00,142.6496,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.00000000,5.00,189.8530,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05190652,5.73,188.1898,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06759210,7.81,246.0486,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08105001,14.35,79.1960,5
Low Fat,FDS14,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00000000,7.29,155.1288,4
Low Fat,FDO37,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00000000,8.06,232.7326,4
Low Fat,DRK12,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.00000000,9.50,32.8900,4
Low Fat,NCY42,Household,2014,OUT013,Tier 3,Large,Supermarket Type1,0.01514996,6.38,144.0470,5
Low Fat,NCO43,Others,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04705902,5.50,100.1016,5
Regular,FDE10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,6.67,133.0626,4
Low Fat,NCU30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03507196,5.11,163.2210,4
Regular,FDO27,Meat,2015,OUT045,Tier 2,Large,Supermarket Type1,0.00000000,6.18,94.9752,3
Regular,FDL51,Dairy,2015,OUT045,Tier 2,Large,Supermarket Type1,0.04758769,20.70,215.0876,4
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02664345,13.65,37.9532,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02738612,9.60,259.2304,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01144322,10.70,73.5038,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05820711,12.30,59.1562,5
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00989382,11.40,50.3034,5
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827,12.35,78.2328,5
Low Fat,NCZ42,Household,2011,OUT010,Tier 3,Small,Grocery Store,0.00000000,10.50,238.3248,4
Regular,FDI27,Dairy,2020,OUT017,Tier 2,Large,Supermarket Type1,0.00000000,8.71,43.5744,4
Low Fat,NCU54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09860373,8.88,210.7270,3
Low Fat,NCH43,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.07096808,8.42,215.9192,4
Low Fat,NCN42,Household,2014,OUT013,Tier 3,Large,Supermarket Type1,0.00000000,20.25,145.6418,4
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04703604,8.77,170.5422,5
Regular,FDE17,Frozen Foods,2011,OUT010,Tier 3,Large,Grocery Store,0.00000000,20.10,152.2366,4
Low Fat,NCM06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07571358,7.48,156.4656,5
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02841727,8.93,154.5340,5
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02419473,12.60,36.1874,5
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.50,264.4910,5
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03758124,13.10,175.5054,5
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03430696,16.10,252.3356,5
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04490840,15.00,140.2838,5
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01890533,17.60,234.6590,5
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09056219,16.35,198.2110,5
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01568705,17.60,182.6976,5
Low Fat,NCB55,Household,2014,OUT013,Tier 3,Large,Supermarket Type1,0.16052932,15.70,59.2562,5
Low Fat,NCN30,Household,2014,OUT013,Tier 3,Large,Supermarket Type1,0.01697906,16.35,97.4410,5
Low Fat,FDF22,Snack Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.05678339,6.87,214.5218,5
Low Fat,FDQ10,Snack Foods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.03315162,12.85,170.6422,5
Low Fat,DRK13,Soft Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.11507174,11.80,198.2084,5
Low Fat,DRL37,Soft Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.05332776,15.50,44.4770,5
Regular,FDL38,Canned,2014,OUT013,Tier 3,Large,Supermarket Type1,0.01472085,13.80,89.9172,5
Low Fat,DRG01,Soft Drinks,2014,OUT013,Tier 3,Large,Supermarket Type1,0.04484093,14.80,78.3670,4
Regular,FDP03,Meat,2014,OUT013,Tier 3,Large,Supermarket Type1,0.06112617,5.15,122.5388,4
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02898829,10.80,239.2222,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02060055,12.10,147.5734,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07586884,15.50,261.7568,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07941976,20.70,99.8042,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03031195,8.00,247.4092,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03074208,19.50,85.5540,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887,14.00,145.4786,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,20.25,194.2794,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06683374,11.30,257.2962,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07728457,11.60,172.4106,5
Regular,FDB04,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06322631,11.35,87.9856,5
Low Fat,NCK07,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04876238,10.65,165.2526,4
Low Fat,NCD18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,16.00,228.8668,4
Low Fat,FDD51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.00000000,11.15,44.7744,3
Low Fat,NCX30,Household,2020,OUT017,Tier 2,Large,Supermarket Type1,0.02677120,16.70,246.3776,3
Regular,FDV10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,7.65,41.8112,4
Low Fat,FDD17,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00000000,7.50,237.7906,4
Regular,FDT39,Meat,2011,OUT010,Tier 3,Small,Grocery Store,0.01651687,6.26,151.1366,4
Regular,FDP49,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06919638,9.00,54.3614,5
Regular,FDG35,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00704098,21.20,173.5738,5
Low Fat,FDR21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06693546,19.70,177.5370,5
Regular,FDQ36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00000000,7.86,38.3848,5
Regular,FDP28,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.13497563,13.65,260.0936,5
Regular,FDR52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07635436,12.65,192.1846,5
Regular,FDY56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06241140,16.35,225.9062,5
Regular,FDR36,Baking Goods,2014,OUT013,Tier 3,Large,Supermarket Type1,0.12148520,6.72,40.2454,5
Regular,FDY22,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.16062412,16.50,143.8128,5
Low Fat,FDP19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00000000,11.50,128.4652,5
Low Fat,FDF20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03327182,12.85,196.5768,5
Low Fat,NCB31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11885887,6.24,263.2910,5
Low Fat,DRE12,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07089060,4.59,111.6860,5
Low Fat,DRK01,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06115925,7.63,92.5436,5
Regular,FDE20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00553911,11.35,167.8790,5
Regular,FDJ34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09380134,11.80,126.0704,5
Low Fat,NCV41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01703878,14.35,112.5228,5
Low Fat,NCM19,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04723725,12.65,112.5202,5
Regular,FDP31,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.16150496,21.10,65.0168,5
Regular,FDQ45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01091705,9.50,185.3608,5
Regular,FDO21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00976302,11.60,226.2404,5
Low Fat,FDQ24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.07381610,15.70,253.4724,5
Low Fat,FDD14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.17015283,20.70,182.6266,5
Low Fat,NCC54,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.09790908,17.75,242.1196,5
Low Fat,FDZ40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04041004,8.94,52.9298,5
Low Fat,NCM07,Others,2020,OUT017,Tier 2,Large,Supermarket Type1,0.04018788,9.40,85.6908,5
Low Fat,NCP50,Others,2020,OUT017,Tier 2,Large,Supermarket Type1,0.02067614,17.35,80.6618,5
Low Fat,NCJ31,Others,2020,OUT017,Tier 2,Large,Supermarket Type1,0.18368694,19.20,241.8196,5
Low Fat,FDF46,Snack Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.09420162,7.07,115.8834,5
Regular,FDJ36,Baking Goods,2015,OUT045,Tier 2,Large,Supermarket Type1,0.12852019,14.50,101.4332,5
Regular,FDZ13,Canned,2015,OUT045,Tier 2,Large,Supermarket Type1,0.15380627,7.84,51.3350,5
Regular,FDY40,Frozen Foods,2020,OUT017,Tier 2,Large,Supermarket Type1,0.08632051,15.50,48.1692,5
Low Fat,FDK24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10127579,9.20,46.4744,5
Low Fat,NCL05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04788861,19.60,42.2770,5
Low Fat,NCA29,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02727125,10.50,171.6106,5
Low Fat,NCP30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03276250,20.50,40.0822,5
Low Fat,FDX58,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.07325143,13.15,181.6950,5
Low Fat,FDW24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.06276237,6.80,50.4034,5
Low Fat,FDH48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.10123172,13.50,86.2540,5
Low Fat,FDF20,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.05560375,12.85,195.6768,5
